,,,,,,country list,国リスト,國家名單,Länderliste
,,,,,,"1:GitHub account, 2:repository",1：GitHubアカウント、2：リポジトリ,1：GitHub帳戶，2：存儲庫,"1:GitHub-Konto, 2:Repository"
,,,,,,"3:region, 4:country code",3：地域、4：国コード,3：地區，4：國家代碼,"3:Region, 4:Ländercode"
,,,,,,7:country name or global,7：国名またはグローバル,7：國家名稱或全球,7: Ländername oder global
1:acc,2:rep,3:,4:,5:,6:,7:country,7：国,7：國家,7: Land
ego-global,home,global,gl,,,global,グローバル,全球的,global
tmp-jp,home,asia,jp,,,japan,日本,日本,Japan
,,europe,,,,,,,
,,africa,,,,,,,
,,america,,,,,,,
,,oceania,,,,,,,
